< 		<string>Allow JPEG compression</string>
> 		<string>JPEG圧縮を許可</string>
< 		<string>Embed ICC profile</string>
> 		<string>ICCプロファイルを埋め込む</string>
< 		<string>Minimise size</string>
> 		<string>サイズを最小にする</string>
< 		<string>Progressive</string>
> 		<string>プログレッシブ</string>
< 		<string>Palettised</string>
> 		<string>減色済み</string>
< 		<string>Use hex colours</string>
> 		<string>16進数カラーを使用</string>
< 		<string>Flatten transforms</string>
> 		<string>変換のフラット化</string>
< 		<string>Add line breaks</string>
> 		<string>改行を追加</string>
< 		<string>Export text as curves</string>
> 		<string>テキストをカーブとして書き出し</string>
< 		<string>Colours:</string>
> 		<string>カラー:</string>
< 		<string>OtherViews</string>
> 		<string>他の表示</string>
> 		<string>他の表示</string>
< 		<string>File format:</string>
> 		<string>ファイル形式:</string>
< 		<string>Above:</string>
> 		<string>上:</string>
< 		<string>Relative coordinates</string>
> 		<string>相対座標</string>
< 		<string>Embed metadata</string>
> 		<string>メタデータを埋め込む</string>
> 		<string>他の表示</string>
< 		<string>Colour profile from name</string>
> 		<string>名前に基づくカラープロファイル</string>
< 		<string>Compression:</string>
> 		<string>圧縮:</string>
< 		<string>None</string>
> 		<string>なし</string>
< 		<string>PXR24 (Lossy)</string>
> 		<string>PXR24(非可逆)</string>
< 		<string>B44 (Lossy)</string>
> 		<string>B44(非可逆)</string>
< 		<string>B44A (Lossy)</string>
> 		<string>B44A(非可逆)</string>
< 		<string>DWAA (Lossy)</string>
> 		<string>DWAA(非可逆)</string>
< 		<string>DWAB (Lossy)</string>
> 		<string>DWAB(非可逆)</string>
< 		<string>Include unknown channels</string>
> 		<string>不明なチャンネルを含める</string>
< 		<string>Multi channel</string>
> 		<string>マルチチャンネル</string>
< 		<string>Image pixels:</string>
> 		<string>画像のピクセル数:</string>
< 		<string>16-bit (HALF)</string>
> 		<string>16ビット(HALF)</string>
< 		<string>32-bit (FLOAT)</string>
> 		<string>32ビット(FLOAT)</string>
< 		<string>Other pixels:</string>
> 		<string>その他のピクセル数:</string>
< 		<string>16-bit (HALF)</string>
> 		<string>16ビット(HALF)</string>
< 		<string>32-bit (FLOAT)</string>
> 		<string>32ビット(FLOAT)</string>
< 		<string>Spacial pixels:</string>
> 		<string>空間のピクセル数:</string>
< 		<string>16-bit (HALF)</string>
> 		<string>16ビット(HALF)</string>
< 		<string>32-bit (FLOAT)</string>
> 		<string>32ビット(FLOAT)</string>
< 		<string>ICC profile:</string>
> 		<string>ICCプロファイル:</string>
> 		<string>他の表示</string>
< 		<string>Downsample images</string>
> 		<string>画像のダウンサンプル</string>
< 		<string>Convert clips to paths</string>
> 		<string>クリップをパスに変換</string>
< 		<string>Embed metadata</string>
> 		<string>メタデータを埋め込む</string>
< 		<string>Button</string>
> 		<string>ボタン</string>
< 		<string>Matte:</string>
> 		<string>マット:</string>
< 		<string>Create preset...</string>
> 		<string>プリセットの作成...</string>
< 		<string>Delete preset</string>
> 		<string>プリセットの削除</string>
< 		<string>Rename preset...</string>
> 		<string>プリセット名の変更...</string>
< 		<string>Palette:</string>
> 		<string>パレット:</string>
> 		<string>他の表示</string>
< 		<string>Automatic</string>
> 		<string>自動</string>
< 		<string>Black &amp; White</string>
> 		<string>白黒</string>
< 		<string>Grayscale</string>
> 		<string>グレースケール</string>
< 		<string>Web colours</string>
> 		<string>Webカラー</string>
< 		<string>Custom</string>
> 		<string>カスタム</string>
< 		<string>Allow advanced features</string>
> 		<string>拡張機能を許可</string>
> 		<string>他の表示</string>
< 		<string>PDF 1.7 (Acrobat 8)</string>
> 		<string>PDF 1.7(Acrobat 8)</string>
< 		<string>PDF 1.6 (Acrobat 7)</string>
> 		<string>PDF 1.6(Acrobat 7)</string>
< 		<string>PDF 1.5 (Acrobat 6)</string>
> 		<string>PDF 1.5(Acrobat 6)</string>
< 		<string>PDF 1.4 (Acrobat 5)</string>
> 		<string>PDF 1.4(Acrobat 5)</string>
< 		<string>Embed  fonts:</string>
> 		<string>フォントを埋め込む:</string>
< 		<string>No Fonts</string>
> 		<string>フォントなし</string>
< 		<string>Text as Curves</string>
> 		<string>曲線状のテキスト</string>
< 		<string>All Fonts</string>
> 		<string>すべてのフォント</string>
< 		<string>Uncommon Fonts</string>
> 		<string>一般的でないフォント</string>
< 		<string>Embed profiles</string>
> 		<string>プロファイルを埋め込む</string>
< 		<string>Honour spot colours</string>
> 		<string>スポットカラーを有効化</string>
< 		<string>Include colour bars</string>
> 		<string>カラーバーを含む</string>
< 		<string>Include crop marks</string>
> 		<string>切り抜きマークを含む</string>
< 		<string>Include page information</string>
> 		<string>ページ情報を含める</string>
< 		<string>Include printers marks</string>
> 		<string>プリンターマークを含める</string>
< 		<string>Include registration marks</string>
> 		<string>登録マークを含む</string>
< 		<string>Overprint black</string>
> 		<string>オーバープリントブラック</string>
< 		<string>Subset fonts</string>
> 		<string>サブセットフォント</string>
< 		<string>Pixel format:</string>
> 		<string>ピクセル形式:</string>
> 		<string>他の表示</string>
< 		<string>Use document format</string>
> 		<string>ドキュメント形式を使用</string>
< 		<string>RGB 8-bit</string>
> 		<string>RGB 8ビット</string>
< 		<string>RGB 16-bit</string>
> 		<string>RGB 16ビット</string>
< 		<string>Greyscale 8-bit</string>
> 		<string>グレースケール 8ビット</string>
< 		<string>Greyscale 16-bit</string>
> 		<string>グレースケール 16ビット</string>
< 		<string>CMYK 8-bit</string>
> 		<string>CMYK 8ビット</string>
< 		<string>LAB 16-bit</string>
> 		<string>LAB(16ビット)</string>
< 		<string>Embed metadata</string>
> 		<string>メタデータを埋め込む</string>
< 		<string>Preset:</string>
> 		<string>プリセット:</string>
> 		<string>他の表示</string>
< 		<string>Preserve editability</string>
> 		<string>編集可能性を維持</string>
> 		<string>他の表示</string>
< 		<string>Preserve accuracy</string>
> 		<string>精度を維持</string>
< 		<string>Preserve editability</string>
> 		<string>編集可能性を維持</string>
> 		<string>他の表示</string>
< 		<string>Preserve accuracy</string>
> 		<string>精度を維持</string>
< 		<string>Compatibility mode</string>
> 		<string>互換性モード</string>
< 		<string>Embed metadata</string>
> 		<string>メタデータを埋め込む</string>
< 		<string>Preserve editability</string>
> 		<string>編集可能性を維持</string>
> 		<string>他の表示</string>
< 		<string>Preserve accuracy</string>
> 		<string>精度を維持</string>
< 		<string>Rasterise all layers</string>
> 		<string>すべてのレイヤーをラスタライズ</string>
< 		<string>Preserve editability</string>
> 		<string>編集可能性を維持</string>
> 		<string>他の表示</string>
< 		<string>Preserve accuracy</string>
> 		<string>精度を維持</string>
< 		<string>Preserve editability</string>
> 		<string>編集可能性を維持</string>
> 		<string>他の表示</string>
< 		<string>Preserve accuracy</string>
> 		<string>精度を維持</string>
> 		<string>他の表示</string>
< 		<string>Nearest Neighbour</string>
> 		<string>最近傍</string>
< 		<string>Bilinear</string>
> 		<string>バイリニア</string>
< 		<string>Bicubic</string>
> 		<string>バイキュービック</string>
< 		<string>Lanczos 3 (separable)</string>
> 		<string>Lanczos 3(分離可能)</string>
< 		<string>Lanczos 3 (non-separable)</string>
> 		<string>Lanczos 3(分離不可)</string>
< 		<string>Smallest file sizes</string>
> 		<string>最小ファイルサイズ</string>
< 		<string>Quality:</string>
> 		<string>品質:</string>
< 		<string>Unsupported properties</string>
> 		<string>サポートされていないプロパティ</string>
> 		<string>他の表示</string>
< 		<string>Nothing</string>
> 		<string>なし</string>
< 		<string>Everything</string>
> 		<string>すべて</string>
< 		<string>Resampler:</string>
> 		<string>リサンプラー:</string>
> 		<string>バイリニア</string>
> 		<string>他の表示</string>
< 		<string>Nearest Neighbour</string>
> 		<string>最近傍</string>
> 		<string>バイキュービック</string>
< 		<string>Lanczos 3 (separable)</string>
> 		<string>Lanczos 3(分離可能)</string>
< 		<string>Lanczos 3 (non-separable)</string>
> 		<string>Lanczos 3(分離不可)</string>
> 		<string>ボタン</string>
> 		<string>マット:</string>
< 		<string>Resampler:</string>
> 		<string>リサンプラー:</string>
> 		<string>バイリニア</string>
> 		<string>他の表示</string>
< 		<string>Nearest Neighbour</string>
> 		<string>最近傍</string>
> 		<string>バイキュービック</string>
< 		<string>Lanczos 3 (separable)</string>
> 		<string>Lanczos 3(分離可能)</string>
< 		<string>Lanczos 3 (non-separable)</string>
> 		<string>Lanczos 3(分離不可)</string>
< 		<string>Use relative coordinates</string>
> 		<string>相対座標を使用</string>
< 		<string>Use tile patterns</string>
> 		<string>タイルパターンを使用</string>
< 		<string>Set viewBox</string>
> 		<string>viewBoxを設定する</string>
< 		<string>Longer text spans</string>
> 		<string>より長いテキスト範囲</string>
< 		<string>Empty</string>
> 		<string>空</string>
< 		<string>PNG, GIF</string>
> 		<string>PNG、GIF</string>
< 		<string>Embed metadata</string>
> 		<string>メタデータを埋め込む</string>
> 		<string>空</string>
< 		<string>Raster</string>
> 		<string>ラスター</string>
< 		<string>Rasterise:</string>
> 		<string>ラスタライズ:</string>
< 		<string>Resampler:</string>
> 		<string>リサンプラー:</string>
> 		<string>他の表示</string>
< 		<string>Nearest Neighbour</string>
> 		<string>最近傍</string>
> 		<string>バイリニア</string>
> 		<string>バイキュービック</string>
< 		<string>Lanczos 3 (separable)</string>
> 		<string>Lanczos 3(分離可能)</string>
< 		<string>Lanczos 3 (non-separable)</string>
> 		<string>Lanczos 3(分離不可)</string>
< 		<string>Use document resolution</string>
> 		<string>ドキュメント解像度を使用</string>
< 		<string>Use DPI:</string>
> 		<string>次のDPIを使用:</string>
< 		<string>Radio</string>
> 		<string>ラジオ</string>
< 		<string>Quality:</string>
> 		<string>品質:</string>
< 		<string>Postscript level:</string>
> 		<string>PostScriptレベル:</string>
< 		<string>Compatibility:</string>
> 		<string>互換性:</string>
< 		<string>Colour Space:</string>
> 		<string>色空間:</string>
< 		<string>Profile:</string>
> 		<string>プロファイル:</string>
< 		<string>Vector</string>
> 		<string>ベクトル</string>
< 		<string>Resample:</string>
> 		<string>リサンプル:</string>
< 		<string>Gradients:</string>
> 		<string>グラデーション:</string>
< 		<string>Adjustments:</string>
> 		<string>調整:</string>
< 		<string>Layer effects:</string>
> 		<string>レイヤーエフェクト:</string>
< 		<string>Lines:</string>
> 		<string>行数:</string>
< 		<string>Adv Blending:</string>
> 		<string>高度なブレンディング:</string>
< 		<string>Box</string>
> 		<string>ボックス</string>
< 		<string>An OCIO colour profile will be applied if one can be identified from the output filename</string>
> 		<string>PSDベクトルマスクを処理しない多くのサードパーティアプリケーションでは、互換性モードが必要になります。結果として得られるファイルサイズは大きくなります。</string>
< 		<string>Choose how to handle exporting adjustment layers. Affinity handles adjustments in a different way to other apps, so editable adjustments may appear different in other applications. Some third party applications may also not support adjustments.</string>
> 		<string>zip圧縮を使用して、結果として得られるファイルサイズを小さくします。ファイルは一部のサードパーティアプリケーションとの互換性が失われる可能性があります。</string>
< 		<string>Choose how to handle exporting gradients. Affinity handles gradients in a different way to other apps, so editable gradients may appear different in other applications.</string>
